Genotype,"1,3-Dimethylurate",3-Hydroxyisovalerate,Ethylene glycol,Galactarate,Glycine,Glycolate,Imidazole,Malonate,Maltose,O-Phosphocholine,Oxypurinol,Trimethylamine N-oxide,?-Methylhistidine,Galactitol,Galactonate,Leucine,Niacinamide,Propylene glycol,Succinate,2-Hydroxyisocaproate,Creatine,Histamine,Mannose,"N,N-Dimethylglycine",N-Methylhydantoin,Theophylline,Glucarate,Lactulose,Melatonin,Pyruvate,Uridine,Betaine,Caffeine,Guanidoacetate,3-Hydroxybutyrate,5-Aminolevulinate,Choline,Glucitol,Glutathione,2-Aminobutyrate,Arabinose,Creatinine,Dimethyl sulfone,Hypoxanthine,Sarcosine,"1,3-Dihydroxyacetone",Acetate,Creatine phosphate,Formate,Fucose,O-Acetylcholine,Riboflavin,Dimethylamine,Sucrose,Taurine,4-Pyridoxate,Glycylproline,N-Nitrosodimethylamine,Ornithine,Trimethylamine,Valine,p-Cresol,Lactose,Methanol,UDP-N-Acetylglucosamine,Fumarate,Methylmalonate,Syringate,Fructose,Galactose,IMP,Methionine,Pantothenate,3-Methylxanthine,AMP,Acetoacetate,Glucose,Hydroxyacetone,Isoleucine,Phenylalanine,2-Methylglutarate,Anserine,Histidine,"N,N-Dimethylformamide",Xanthine
WT-Male,252.5,76.5,186.1,50.3,2710.3,140.2,145.3,78.4,4255,219,2513.9,391.3,42.9,412.7,264.3,523.4,429.7,97.2,11.9,155.1,62.8,1E-12,2663.5,11.3,59.2,27,169.4,383.1,40.4,91,221.4,308.2,65.7,3213.6,34.2,196.9,181.8,3166.2,910.3,114.9,1391.4,201.2,1E-12,419.1,67.8,1E-12,481.8,14.7,205.7,421.9,269.4,38.5,642.9,69.9,7039.7,1E-12,1148.1,1E-12,146.3,4.6,386.8,1E-12,1E-12,1E-12,1E-12,47,126.3,8.3,1124.3,1E-12,24.8,1E-12,1E-12,15.9,1E-12,1E-12,12097.3,18.5,253.2,62.8,1E-12,56.1,225.5,42.3,81.9
WT-Male,222.9,78.1,63,74.3,805.1,151.3,71.9,87.1,4237.2,375.3,943.2,285.4,86.7,277.4,226.6,262.8,383.1,84.8,7.8,130.1,11,37.9,1276,6.8,51.1,11.7,226.5,272.3,10,87.5,178.6,507.2,21.9,1E-12,54.9,41,216.2,3426.4,496.3,1E-12,1314.6,157.5,28.5,452.3,32.8,1E-12,614.3,85.6,187.3,156,232.9,10.6,848.3,148.2,4901.2,11.5,587.8,1E-12,75.2,9.8,332.1,7.6,628.2,108.2,18.5,47.3,96,3.7,840.1,1103.7,49.9,39.1,45.7,10.4,35.3,28.9,23878.2,11.5,1E-12,135.9,1E-12,20,215.3,20.3,357.9
WT-Male,220.8,148,125.4,36.4,611.7,119.4,197.3,69.7,4317.8,149.5,725.1,452.3,44,232.9,149.3,1E-12,277.8,52.3,15.8,1E-12,12.6,60.6,545.5,5.1,42.2,37.2,1E-12,1E-12,27.1,79.6,137.1,575.6,19.4,2324.8,48.4,201.2,1E-12,3170.5,1E-12,108.1,1254.9,131.4,1E-12,363.9,34,1E-12,234.9,1E-12,142.7,162.5,271.7,14,461.2,1E-12,1E-12,1E-12,620.5,62.6,197.6,13.1,370.1,7,1016.8,39,20.1,57.7,1E-12,8.6,1E-12,1810.5,56.9,75,58.4,1E-12,24.9,41.4,17335.5,1E-12,1E-12,142.7,1E-12,45.7,176,1E-12,1E-12
WT-Male,197.4,117.1,141,42.7,817.3,209.7,154.7,96.8,4549,325,1402.7,31.2,65.2,156.5,194.8,706.8,360,63.1,13.1,1E-12,61.8,35.1,965.4,7,82.5,41.4,184.6,378.4,44.2,112.3,195.6,408.8,1E-12,2730.2,79.1,68,11.6,3644.3,717.1,135.1,1509,1E-12,4.9,542.2,88.3,1E-12,669.1,1E-12,168.3,211.5,338.7,20.5,483.3,1E-12,1808.1,32.6,879.7,67.1,251.5,1E-12,523.3,7.3,1E-12,195,31.1,64.8,148,7.3,1E-12,1306.8,42.6,124.1,1E-12,1E-12,55.8,35,9687.3,1E-12,1E-12,94.2,1E-12,33.7,187.4,1E-12,40.1
WT-Male,306.3,141.7,367.2,117.4,39.9,386,100.5,114.1,1869.1,183,2056.9,228.1,83.1,506.7,465.8,233.9,465.9,90.3,32.5,119.2,146.6,39.7,1E-12,1E-12,1E-12,119.8,156.7,277.9,17.2,45.8,187.5,255.3,1E-12,293.6,181.2,31.5,49.3,2705.9,1763.6,253.3,940.4,134.9,23.1,1E-12,341,18.5,1E-12,84.9,249.6,204.5,274.6,1E-12,1E-12,88.2,6691.5,187.5,1E-12,68.9,121,1E-12,1E-12,7.2,986.2,109.9,107.6,1E-12,1E-12,1E-12,656.2,2112.9,1E-12,1E-12,1E-12,1E-12,1E-12,22.8,1E-12,22.5,141.6,1E-12,54.2,1E-12,162.6,1E-12,1E-12
WT-Male,179.1,30.3,158,111.8,334,68.3,86.4,47.2,962.7,144.8,1613.7,86.8,50.2,358.6,349.4,154.9,360.9,53.2,328.6,85.2,122.7,30.7,611.1,14.1,60.1,53.9,94.7,289.5,22.8,40.8,144.2,240.6,15.9,1E-12,159.3,1E-12,122.2,1E-12,1099.3,1E-12,1188.4,1E-12,21.6,122.4,35.1,17.1,323.5,1E-12,179.1,38.1,1E-12,1E-12,436,136.2,5770,19.3,143.6,56.2,77.3,3.7,217.4,5.7,1E-12,67.6,77.1,28.1,84.6,7.1,1323.9,1E-12,36.1,1E-12,81.3,12.5,1E-12,13.2,24799.3,33.7,1E-12,1E-12,29.2,1E-12,162,14.5,114.6
WT-Male,260.9,144.6,692.5,48.4,510.2,135.9,60.6,95.6,5908.9,200.6,2436.3,403,49.6,526.1,245.1,428,397.2,96.7,46,199.2,1E-12,58.1,1077.3,78,93.4,15.9,194,488.7,40.2,152.1,225.7,571.9,73.5,3177.8,114.7,1E-12,11.5,4821.2,934.3,135.3,1488.6,189.9,24.9,638.4,76,12.6,584.8,85.8,207,216.3,369.8,11.6,24.8,1E-12,5594.7,185.1,965.2,101.7,228.7,7,488.9,10.4,1784.6,68.4,32.4,81,91.2,1E-12,986.9,3524.5,43.9,101.1,1E-12,1E-12,31.1,52.8,13074,1E-12,288.8,164.9,79.1,26.3,1E-12,59,1E-12
KO-Male,290.9,114.6,307,58.4,1047,401.1,81.2,121.5,5934.6,271.1,912.6,414.8,60.7,541,282.1,893.1,438.4,97.3,18.1,261,174.1,68.1,1160.1,4.6,79.1,12.8,135.3,637.4,36.6,103.2,274.6,456.7,41.7,3319.5,148.2,208.3,227.7,5094.3,904.3,199.6,1870.2,1E-12,30.5,705.6,1E-12,8.2,631.2,155,201.4,256.9,414,1E-12,827.7,1E-12,6661.5,34.6,1331,84,265,10.5,600.4,15,968.1,61.1,23.1,81.3,1E-12,1E-12,1199.9,3990.8,1E-12,113.6,1E-12,11.4,88.2,43.6,14540.1,1E-12,394,216.5,1E-12,1E-12,258.3,16.2,1E-12
KO-Male,299.1,132,76,247.5,543.2,169.8,100.1,64.6,1303.9,21.1,3844.9,418.7,78.9,649.9,379.1,178.9,361.4,75.3,257.6,125.4,58.9,32.5,1374.4,38.7,41.9,66,239.7,209.6,25.2,25.4,161.2,435.3,12.6,222.8,113.6,101.4,160.5,1711.8,1E-12,156.2,1E-12,64.5,11.1,125.9,184.5,16,13.1,11.6,269,140.1,229.9,22.8,1E-12,147.9,7254.1,1E-12,1E-12,57.1,57.4,1E-12,1E-12,1E-12,376.5,59.1,90.6,1E-12,1E-12,9.9,542.9,374.7,1E-12,1E-12,79.6,1E-12,1E-12,1E-12,1E-12,15.9,100.3,1E-12,1E-12,1E-12,223.6,1E-12,113.8
KO-Male,156.8,38.5,101.5,197.5,95.6,103.4,63,74.9,1239.6,3.5,1107,30.6,174.4,399.8,309.1,134.3,308.5,54.6,138.9,92.9,40.2,41.1,350.5,80.2,93.8,18.8,202.9,86.5,22.3,13.2,131,385.4,86.2,147.9,191.6,1E-12,182.7,1E-12,940.9,140.9,362.7,15.1,7.2,1E-12,155.9,11.5,601.7,26.9,171.8,98.6,169.7,14,363.8,65.2,2559.4,1E-12,1E-12,51,1E-12,20.4,67.7,1E-12,175.9,1E-12,1E-12,1E-12,1E-12,10.2,869.4,1381.8,1E-12,40.7,82.4,18.7,1E-12,1E-12,5427.2,1E-12,1E-12,1E-12,25.8,1E-12,1E-12,1E-12,1E-12
